,category,headline
68,ENTERTAINMENT,wnyc new podcast take
69,ENTERTAINMENT,honor touch cover sometimes snow
70,ENTERTAINMENT,make heart melt
71,ENTERTAINMENT,call threesome rihanna
72,ENTERTAINMENT,
73,ENTERTAINMENT,next wow little white dress
74,ENTERTAINMENT,late game throne rumor biggest
75,ENTERTAINMENT,run would destroy
76,ENTERTAINMENT,release acoustic version big hit
77,ENTERTAINMENT,actor reg dead
78,ENTERTAINMENT,woman share story sexual assault help identify
79,ENTERTAINMENT,speech
80,ENTERTAINMENT,moment make crack time
81,ENTERTAINMENT,slow staffing
82,ENTERTAINMENT,confuse know
83,ENTERTAINMENT,mend reportedly pregnant second child
84,ENTERTAINMENT,mission impossible get title bonker
85,ENTERTAINMENT,actual good album
86,ENTERTAINMENT,present throwback photo end throwback photo
87,ENTERTAINMENT,well bad
88,ENTERTAINMENT,create reality find famous birth dad share first piece story
89,ENTERTAINMENT,surely signal new revelation jack
90,ENTERTAINMENT,shake outtake prove taylor_swift hate run
91,ENTERTAINMENT,
92,ENTERTAINMENT,
93,ENTERTAINMENT,watch
94,ENTERTAINMENT,give birth baby girl age
95,ENTERTAINMENT,believe buy
96,ENTERTAINMENT,chart cute
97,ENTERTAINMENT,see light
98,ENTERTAINMENT,trailer movie
99,ENTERTAINMENT,son cover people magazine
100,ENTERTAINMENT,beauty beast rule office record break debut
101,ENTERTAINMENT,reportedly still critical waking coma
102,ENTERTAINMENT,strange man propose chvrche singer immediately shut
103,ENTERTAINMENT,sue
104,ENTERTAINMENT,woman propose gosle directorial debut
105,ENTERTAINMENT,award red carpet
106,ENTERTAINMENT,bloom plant
107,ENTERTAINMENT,finally explain lick tyrion mask
108,ENTERTAINMENT,insert narrative
109,ENTERTAINMENT,pregnant
110,ENTERTAINMENT,tell nude pic
111,ENTERTAINMENT,perform first standup routine deadly car crash
112,ENTERTAINMENT,never think life would become tabloid story
113,ENTERTAINMENT,finally get confront snow return
114,ENTERTAINMENT,movie channel probably glorious mess
115,ENTERTAINMENT,channe tatum open struggle
116,ENTERTAINMENT,want know shade worth time money
117,ENTERTAINMENT,young guy look
118,ENTERTAINMENT,praise spinoff reportedly work
119,ENTERTAINMENT,trailer send toothless adventure
120,ENTERTAINMENT,fan new song
121,ENTERTAINMENT,unfulfilled promise unbroken movie
122,ENTERTAINMENT,spill war
123,ENTERTAINMENT,handle season trailer
124,ENTERTAINMENT,big celebrity fail
125,ENTERTAINMENT,immigrant power player author
126,ENTERTAINMENT,start controversy painting look sander
127,ENTERTAINMENT,people really like real friend really
128,ENTERTAINMENT,get cast movie write pretty little liar
129,ENTERTAINMENT,surveillance really prevent terrorism
130,ENTERTAINMENT,ask say
131,ENTERTAINMENT,oscar wine hand
132,ENTERTAINMENT,golden globe
133,ENTERTAINMENT,reason brother commit suicide
134,ENTERTAINMENT,finally fix ending
135,ENTERTAINMENT,way number album
136,ENTERTAINMENT,save slaughterhouse
137,ENTERTAINMENT,golden globe red carpet
138,ENTERTAINMENT,tell go
139,ENTERTAINMENT,character sound lot may come
140,ENTERTAINMENT,go baby go actor dead drown incident
141,ENTERTAINMENT,trailer hope
142,ENTERTAINMENT,front
143,ENTERTAINMENT,sexual assault survivor bear worthy
144,ENTERTAINMENT,coogler direct marvel black panther
145,ENTERTAINMENT,singer distance disney
146,ENTERTAINMENT,screenwriter offer tantalizing plot hint
147,ENTERTAINMENT,hawkeye get match tattoo
148,ENTERTAINMENT,teacher idea
149,ENTERTAINMENT,husband
150,ENTERTAINMENT,react theater shooting trainwreck
151,ENTERTAINMENT,play hero ken sharp great collection rock interview time could
152,ENTERTAINMENT,praise
153,ENTERTAINMENT,talent drop allegation
154,ENTERTAINMENT,predictably top
155,ENTERTAINMENT,bust face lift
156,ENTERTAINMENT,tell degenere curse day day
157,ENTERTAINMENT,sparkle judge perform man new movie preview video
158,ENTERTAINMENT,tell man respect woman send
159,ENTERTAINMENT,tell dye blond
160,ENTERTAINMENT,real life sue
161,ENTERTAINMENT,pretty little liar cast get match ink celebrate freedom plot hole red herring
162,ENTERTAINMENT,actor stier die
163,ENTERTAINMENT,arrest
164,ENTERTAINMENT,
165,ENTERTAINMENT,yet lawsuit
166,ENTERTAINMENT,fresh
167,ENTERTAINMENT,apparently date
168,ENTERTAINMENT,stud
169,ENTERTAINMENT,earn
170,ENTERTAINMENT,smulder go topless new cover
171,ENTERTAINMENT,night grip reminder lgbtq issue spoiler
172,ENTERTAINMENT,costume pretty incredible
173,ENTERTAINMENT,suit prove
174,ENTERTAINMENT,look little pony blue hair
175,ENTERTAINMENT,scary movie trailer new release upcoming movie
176,ENTERTAINMENT,time feel weird uncomfortable stodden
177,ENTERTAINMENT,extended godzilla trailer prove idea come
178,ENTERTAINMENT,pay homage varsity blue whip cream bikini
179,ENTERTAINMENT,perfect
180,ENTERTAINMENT,pay take easy cover
181,ENTERTAINMENT,ornament
182,ENTERTAINMENT,good movie
183,ENTERTAINMENT,daughter get super sweet special
184,ENTERTAINMENT,find good
185,ENTERTAINMENT,hire top lawyer follow scandal
186,ENTERTAINMENT,please see light clip
187,ENTERTAINMENT,share adorable set full house
188,ENTERTAINMENT,thank netflix stranger thing
189,ENTERTAINMENT,late single prof still twitter agree
190,ENTERTAINMENT,reality tv fan conflict new celebrity apprentice due trump credit
191,ENTERTAINMENT,
192,ENTERTAINMENT,transparent give fan window musical could
193,ENTERTAINMENT,new black character land prison
194,ENTERTAINMENT,grown man blame addiction mom
195,ENTERTAINMENT,look new aunt may spider man
196,ENTERTAINMENT,go man despicable minion
197,ENTERTAINMENT,taylor_swift together magical hogwart
198,ENTERTAINMENT,glorious year night light reunion give feel
199,ENTERTAINMENT,joke adventure promo
200,ENTERTAINMENT,hedge real life
201,ENTERTAINMENT,future cool mom rachel mcadam reportedly pregnant
202,ENTERTAINMENT,act kill name sight sound good film
203,ENTERTAINMENT,child adorable little angel
204,ENTERTAINMENT,edit issue cover
205,ENTERTAINMENT,movie double quick time
206,ENTERTAINMENT,deny role
207,ENTERTAINMENT,turn today good film
208,ENTERTAINMENT,accuse sexual harassment
209,ENTERTAINMENT,top preposterous scene desolation smaug
210,ENTERTAINMENT,crazy adorable
211,ENTERTAINMENT,day viewer
212,ENTERTAINMENT,already talk season
213,ENTERTAINMENT,people misbehave
214,ENTERTAINMENT,possible dancin kitchen
215,ENTERTAINMENT,defend say prove
216,ENTERTAINMENT,
217,ENTERTAINMENT,exclusive bet respond come fire journalist publicist
218,ENTERTAINMENT,leak game photo show look huge battle
219,ENTERTAINMENT,johnny officially
220,ENTERTAINMENT,open film festival
221,ENTERTAINMENT,new special look kind emotional
222,ENTERTAINMENT,gracious vow face
223,ENTERTAINMENT,show
224,ENTERTAINMENT,cruise hang
225,ENTERTAINMENT,new give reason
226,ENTERTAINMENT,put mark big return billboard chart
227,ENTERTAINMENT,go run president
228,ENTERTAINMENT,elephant man dead
229,ENTERTAINMENT,fan theory claim joker already reveal
230,ENTERTAINMENT,great grandmother emotional
231,ENTERTAINMENT,unsolved tupac notorious murder focus new true crime series
232,ENTERTAINMENT,announce
233,ENTERTAINMENT,hospitalize stage performance
234,ENTERTAINMENT,parent twin selfie
235,ENTERTAINMENT,cast rugrat would look parent
236,ENTERTAINMENT,poster upcoming disney pixar favorite
237,ENTERTAINMENT,pretend
238,ENTERTAINMENT,public supremacist
239,ENTERTAINMENT,break free epic vma performance
240,ENTERTAINMENT,actually fine use music
241,ENTERTAINMENT,new show miss
242,ENTERTAINMENT,dolly speech reason always love
243,ENTERTAINMENT,year
244,ENTERTAINMENT,turn sobering documentary
245,ENTERTAINMENT,sign save day exclusive spy
246,ENTERTAINMENT,trailer wishlist vii thing hope see
247,ENTERTAINMENT,pal trainspotte trailer
248,ENTERTAINMENT,lyric make love even
249,ENTERTAINMENT,big boi announce new record deal
250,ENTERTAINMENT,walk dead fan freak shocking premiere
251,ENTERTAINMENT,documentary
252,ENTERTAINMENT,know stunning new love interest affair
253,ENTERTAINMENT,harambe
254,ENTERTAINMENT,pitbull tasteless memorial tweet bring together
255,ENTERTAINMENT,new track
256,ENTERTAINMENT,respond tidal criticism twitter
257,ENTERTAINMENT,reason megyn
258,ENTERTAINMENT,go makeup free snapchat north
259,ENTERTAINMENT,wear see front slit dress ama
260,ENTERTAINMENT,friend take photo
261,ENTERTAINMENT,black president
262,ENTERTAINMENT,daily show explain hack election well ever could
263,ENTERTAINMENT,get first second season
264,ENTERTAINMENT,problem
265,ENTERTAINMENT,british spy battle stop secret leak
266,ENTERTAINMENT,really like impersonate apparently
267,ENTERTAINMENT,taylor_swift duet lavigne wonderfully complicated
268,ENTERTAINMENT,could well way pop band
269,ENTERTAINMENT,woody really hope keep wink woman woman beg
270,ENTERTAINMENT,shoot heart
271,ENTERTAINMENT,watch amazing music video
272,ENTERTAINMENT,return
273,ENTERTAINMENT,may star come call
274,ENTERTAINMENT,enemy hunger game get
275,ENTERTAINMENT,would sad say goodbye new girl
276,ENTERTAINMENT,shade
277,ENTERTAINMENT,revoking right golden
278,ENTERTAINMENT,man reboot make good one care
279,ENTERTAINMENT,river notably leave oscar segment
280,ENTERTAINMENT,seal team romney soundbite cut version exclusive video
281,ENTERTAINMENT,linger
282,ENTERTAINMENT,budget proposal
283,ENTERTAINMENT,violinist continue defy ridiculous music category
284,ENTERTAINMENT,hook taylor_swift
285,ENTERTAINMENT,musically schizophrenic genius
286,ENTERTAINMENT,talk true blood female director shoot sex scene
287,ENTERTAINMENT,look money video celebrate wealth
288,ENTERTAINMENT,taylor_swift stalker break singer home take nap
289,ENTERTAINMENT,lemonade like
290,ENTERTAINMENT,birthday fire studio session
291,ENTERTAINMENT,finally get pay much male westworld costar
292,ENTERTAINMENT,get enough hilarious meme comparing goat
293,ENTERTAINMENT,fumble fashion police
294,ENTERTAINMENT,new rumor suggest superman may die superman
295,ENTERTAINMENT,son adorable
296,ENTERTAINMENT,use elaborate nondisclosure agreement silence accuser
297,ENTERTAINMENT,man apocalypse leak intense
298,ENTERTAINMENT,major
299,ENTERTAINMENT,fast netflix
300,ENTERTAINMENT,hudgen gregory hudgen die
301,ENTERTAINMENT,reunite birthday fierce
302,ENTERTAINMENT,explain absence
303,ENTERTAINMENT,war fan terrific cause
304,ENTERTAINMENT,say
305,ENTERTAINMENT,infinity music award
306,ENTERTAINMENT,walk dead spoil cliffhanger new photo
307,ENTERTAINMENT,take daily show host
308,ENTERTAINMENT,honor memory movie watch
309,ENTERTAINMENT,share photo melt heart
310,ENTERTAINMENT,sneak
311,ENTERTAINMENT,win unexpected golden globe
312,ENTERTAINMENT,reveal
313,ENTERTAINMENT,really bad particularly good thought rihanna
314,ENTERTAINMENT,trailer worth wait
315,ENTERTAINMENT,reunite hunger strike
316,ENTERTAINMENT,degenere
317,ENTERTAINMENT,randomly lick donut buy proclaim
318,ENTERTAINMENT,taylor_swift shake adorable year old
319,ENTERTAINMENT,bridge racial divide
320,ENTERTAINMENT,project empire
321,POLITICS,still grant daca angering supporter
322,POLITICS,year set back anywhere year decade
323,POLITICS,say pipeline spill small initially report update
324,POLITICS,sex marriage advocate still fight change mind
325,POLITICS,trump claim could shoot lose voter
326,POLITICS,opposition minimum wage make sense
327,POLITICS,drop death penalty option mass murder case taint misconduct
328,POLITICS,provocative police tactic inflame protest expert find
329,POLITICS,show slide criminal name
330,POLITICS,compassionate conservatism roar back surprise
331,POLITICS,war child
332,POLITICS,reince priebus denounce trump indefensible comment woman
333,POLITICS,idea stand campaign finance reform
334,POLITICS,good way explain climate
335,POLITICS,kid learn public service
336,POLITICS,timing move unfair ethic
337,POLITICS,conservative machine put
338,POLITICS,never trump necessarily mean
339,POLITICS,pass defense help partner ignore new war
340,POLITICS,
341,POLITICS,campaign inherit wealth
342,POLITICS,
343,POLITICS,vote situation much serious
344,POLITICS,mourner pay respect
345,POLITICS,government watchdog may well hope keep trump administration check
346,POLITICS,aim influence new order
347,POLITICS,claim victory update
348,POLITICS,literal shock inspire former democratic socialist
349,POLITICS,pay sexual abuse victim
350,POLITICS,lawmaker break ignore strongly word letter write strongly word letter
351,POLITICS,judge speed deportation
352,POLITICS,correction could change shut
353,POLITICS,congressman realize demean woman district maybe good idea
354,POLITICS,approve
355,POLITICS,building need
356,POLITICS,could become disaster hit inauguration
357,POLITICS,cut build border wall
358,POLITICS,stop corporate welfare king tax escapee
359,POLITICS,next theresa may follow stunning election upset
360,POLITICS,young member
361,POLITICS,celebrate news climate
362,POLITICS,snow hard
363,POLITICS,long trump wait release new travel ban less may fly court
364,POLITICS,describe unplugged state department job
365,POLITICS,nominee get sweetheart deal foreign firm
366,POLITICS,trump labor pick oppose significantly raise minimum wage
367,POLITICS,penny trump literally fill anti abortion leader
368,POLITICS,lawyer insist trump consider firing mueller
369,POLITICS,call trump disaster relief budget
370,POLITICS,trump outgoing economic adviser globalist still
371,POLITICS,prepare wither attack
372,POLITICS,support pay price progressive group warn
373,POLITICS,state pay patient colonoscopy save million
374,POLITICS,big negative gdp revision
375,POLITICS,consider ban electronic flight european airport
376,POLITICS,really hope stop say racist thing judge
377,POLITICS,speak law
378,POLITICS,use death call strict immigration
379,POLITICS,need connect dot bombshell
380,POLITICS,water crisis cause failure level government
381,POLITICS,never say profile
382,POLITICS,elect speaker
383,POLITICS,city fine thank much
384,POLITICS,election find woman make history man make uncomfortable
385,POLITICS,come wake parallel universe
386,POLITICS,next union
387,POLITICS,defend plan parenthood ste video
388,POLITICS,get vote
389,POLITICS,declare independence forever war
390,POLITICS,liberal establishment suddenly sound ambitious health_care
391,POLITICS,college conservative disdain activist
392,POLITICS,give guidance new school law
393,POLITICS,capture attack
394,POLITICS,closed door contact
395,POLITICS,schock spending scandal spur house review member expense
396,POLITICS,trump new travel ban could hinder research mental health
397,POLITICS,criticize fake medium
398,POLITICS,shoulder deep cut
399,POLITICS,seat get pretty ugly
400,POLITICS,feel vote crime bill
401,POLITICS,online interest gorilla eclipse interest
402,POLITICS,give little debate late
403,POLITICS,precaution base evidence base
404,POLITICS,call exercise fundamental moral leadership reject
405,POLITICS,sink
406,POLITICS,stand
407,POLITICS,meet progressive group ahead loom government shutdown
408,POLITICS,morning newsbrief
409,POLITICS,energy weak
410,POLITICS,bathroom bill
411,POLITICS,tweeter
412,POLITICS,say give salute trump rally
413,POLITICS,demonize muslim people
414,POLITICS,administration tie
415,POLITICS,bend constitution favor cop
416,POLITICS,admit make change mind
417,POLITICS,biden political water mull
418,POLITICS,former campaign entertainment
419,POLITICS,sander supporter say back trump
420,POLITICS,well country
421,POLITICS,show airline give free market
422,POLITICS,warrior could learn art war
423,POLITICS,trickle nonsense explore
424,POLITICS,back key gun right rule law land
425,POLITICS,appear open strike gerrymander map
426,POLITICS,
427,POLITICS,easy way improve test score study
428,POLITICS,puerto teacher face hurdle mainland
429,POLITICS,hispanic official leave
430,POLITICS,
431,POLITICS,go trump
432,POLITICS,stop invasion
433,POLITICS,rip awful legacy last year later say refer
434,POLITICS,dismiss comment blame election loss
435,POLITICS,official target black voter registration drive technicality
436,POLITICS,uninsured rate rise
437,POLITICS,allow condemn israeli settlement pass
438,POLITICS,financial adviser work
439,POLITICS,criminal justice reform may thing last year
440,POLITICS,still think bear
441,POLITICS,instance blatant fearmongering
442,POLITICS,set lose control
443,POLITICS,wish great good politic
444,POLITICS,standoff lapse violence
445,POLITICS,ask seize terrorist
446,POLITICS,reach
447,POLITICS,candidate run move
448,POLITICS,
449,POLITICS,share unlikely friendly moment twitter
450,POLITICS,pave state force recipient work
451,POLITICS,intervention
452,POLITICS,toll exceed
453,POLITICS,friendly
454,POLITICS,protection keep kid alive
455,POLITICS,senior force poverty education demand payment
456,POLITICS,speak
457,POLITICS,may
458,POLITICS,veteran get easy path reunite family
459,POLITICS,
460,POLITICS,throw talk meeting break elephant
461,POLITICS,trump voter write try bring back dark side part
462,POLITICS,vote
463,POLITICS,save office
464,POLITICS,keep trucking state streamline food truck license
465,POLITICS,go away
466,POLITICS,end immigration protection
467,POLITICS,call committee gun violence
468,POLITICS,shtick get old
469,POLITICS,propose drone regulation complicate delivery plan
470,POLITICS,show director forbid get cozy president
471,POLITICS,sue strike congressional map
472,POLITICS,say would distraction debate
473,POLITICS,join live memory
474,POLITICS,school refuse allow student fail
475,POLITICS,want use funding bill keep trucker road long
476,POLITICS,finally get love
477,POLITICS,think sex assault claim trump even true
478,POLITICS,randomly bring question
479,POLITICS,defend say want homogenous
480,POLITICS,release fossil fuel email
481,POLITICS,join debate coverage
482,POLITICS,apply research tax dollar
483,POLITICS,new bill make sue cop civil right violation really tough
484,POLITICS,female president color
485,POLITICS,government fail reach spending agreement
486,POLITICS,call recall
487,POLITICS,lawmaker target porn use poor science
488,POLITICS,shut campaign
489,POLITICS,confident jury grandest
490,POLITICS,age political comity put day
491,POLITICS,celebrity urge elector deny trump electoral college win
492,POLITICS,uncertain future
493,POLITICS,say way hold
494,POLITICS,voter deserve fair map time end gerrymandering
495,POLITICS,new year resolution count
496,POLITICS,shake hand passenger flight
497,POLITICS,agency oust federal worker
498,POLITICS,concern author want release
499,POLITICS,alive well
500,POLITICS,compassion vulnerable
501,POLITICS,sue police allegedly deprive gun right
502,POLITICS,quit haunt
503,POLITICS,state poll miss white working class area
504,POLITICS,small town hood burn
505,POLITICS,today last day file claim nearly bogus summons
506,POLITICS,stake election get much much high
507,POLITICS,good pay job woman issue
508,POLITICS,say peace tough deal
509,POLITICS,element success smart investment result good start family
510,POLITICS,still time strengthen american dream
511,POLITICS,solid put
512,POLITICS,change political climate
513,POLITICS,democratic candidate hang neck opponent
514,POLITICS,agree pull troop
515,POLITICS,new program seek make campaign diverse voter
516,POLITICS,hard abusive prison guard
517,POLITICS,dedicate empty speech abort baby
518,POLITICS,say
519,POLITICS,may awkward candidate
520,POLITICS,reportedly warn campaign
521,POLITICS,split trump say memo
522,POLITICS,check scene second dem debate
523,POLITICS,could win lose
524,POLITICS,supreme_court side pregnant worker
525,POLITICS,help support white supremacist movement
526,POLITICS,call lead probe slam trump credibility
527,POLITICS,may happen term close case
528,POLITICS,feud democratic establishment
529,POLITICS,prevention bill case fail raise debt ceiling
530,POLITICS,stand
531,POLITICS,much pollster really get pay
532,POLITICS,may made huge mistake time
533,POLITICS,trump claim
534,POLITICS,drive less still build highway
535,POLITICS,democratic rise debate
536,POLITICS,advance
537,POLITICS,draw commencement speech
538,POLITICS,cement judicial legacy
539,POLITICS,urge crack sanctuary city
540,POLITICS,indefensible tweet
541,POLITICS,back poll watch measure spark voter intimidation
542,POLITICS,troll hard
543,POLITICS,sign bill expand abortion coverage
544,POLITICS,spy plane crash kill pilot injure
545,POLITICS,code
546,POLITICS,unpredictable deliver boring speech
547,POLITICS,reverse promise ban elephant hunt trophy
548,POLITICS,defend trump twitter use free way share information
549,POLITICS,former press secretary say journalist unprecedented
550,POLITICS,former sentence month prison
551,POLITICS,think government abuse power
552,POLITICS,call elderly medical record
553,POLITICS,real reason calexit
554,POLITICS,long fight farmer get relief high property taxis
555,POLITICS,civil right movement exhibit
556,POLITICS,trump eye warm tie congressional visit
557,POLITICS,libertarian conservative opponent ally
558,POLITICS,donnelly become third democratic senator back neil_gorsuch
559,POLITICS,school district start training teacher carry conceal weapon classroom
560,POLITICS,trump fine budget terrible
561,POLITICS,white parent one hate standardized testing
562,POLITICS,
563,POLITICS,economic team percent steve percent free trade proponent
564,POLITICS,compromise fable
565,POLITICS,trump dismisse hear campaign tie
566,POLITICS,listen business debate live
567,POLITICS,fate earth
568,POLITICS,morning newsbrief
569,POLITICS,honor box legend imply exist
570,POLITICS,support say time bring pitchfork torch
571,POLITICS,carly disappoint comment woman health
572,POLITICS,presidential race tradition
573,POLITICS,reference gordon gekko greed good
574,POLITICS,help million uninsured may help many
575,POLITICS,state emergency
576,POLITICS,tap overuse cliche campaign coverage
577,POLITICS,dangerous cruz
578,POLITICS,trump protester
579,POLITICS,tighten leash fake service dog
580,POLITICS,save party must sacrifice trump presidency
581,POLITICS,meet
582,POLITICS,novel strategy win behind
583,POLITICS,angry word
584,POLITICS,sue administration daca decision
585,POLITICS,
586,POLITICS,put
587,POLITICS,want family know college
588,POLITICS,republican food stamp bill would cut benefit size government
589,POLITICS,official try get bottom election night cyberattack
590,POLITICS,rival say tammy baldwin team terrorist silence
591,POLITICS,urge use memo attack trump probe attack trump probe
592,POLITICS,hustling tax bill really like
593,POLITICS,support shooting
594,POLITICS,day broken promise
595,POLITICS,imply may back win nomination
596,POLITICS,take fight republican senator home turf
597,POLITICS,want debate minute open closing statement
598,POLITICS,virus disease
599,POLITICS,defeat race
600,POLITICS,silence
601,POLITICS,
602,POLITICS,massive visit
603,POLITICS,man try get gitmo use trump word
604,POLITICS,lawmaker ready fight federal offshore drilling plan
605,POLITICS,day election place rise politic
606,POLITICS,conservative demand change bill leader sound shaky
607,POLITICS,happen ask start fight isis
608,POLITICS,never end campaign
609,POLITICS,hit people
610,POLITICS,propose consider
611,POLITICS,stand
612,POLITICS,want doj investigate potential fraud research
613,POLITICS,fail take hour benghazi hearing
614,POLITICS,trump monument unethical
615,POLITICS,help spur probe spilling secret diplomat nyt
616,POLITICS,
617,POLITICS,back commissioner
618,POLITICS,bernie_sander pin rise isis disastrous invasion
619,POLITICS,chance win
620,POLITICS,
621,POLITICS,want limit class time devote standardized test
622,POLITICS,recall correspondent dinner torch
623,POLITICS,afraid election go rig
624,POLITICS,endorse former
625,POLITICS,live
626,POLITICS,say human climate change propose way cause climate change
627,POLITICS,use state police suppress voter registration group claim
628,POLITICS,cause child migration
629,POLITICS,trump nomination could reshape european party
630,POLITICS,dismiss black life matter terrorist group
631,POLITICS,gorsuch silent case could crush public sector union
632,POLITICS,really feed mitch mcconnell
633,POLITICS,tearful quit
634,POLITICS,set record straight highway infrastructure
635,POLITICS,resist trump enough
636,POLITICS,cycle resume stop play whack
637,POLITICS,
638,POLITICS,make difference mass shooting victim possibly trump backer
639,POLITICS,right thing marriage supreme_court
640,POLITICS,target entitlement
641,POLITICS,shame stick tar
642,POLITICS,support legalization
643,POLITICS,approve trade pact
644,POLITICS,government shutdown day
645,POLITICS,fix defend democracy
646,POLITICS,many reason
647,POLITICS,debate never end
648,POLITICS,trump likely get rid special counsel way
649,POLITICS,system totally rig idea sure help trump
650,POLITICS,trump prepare dede wyome delegate contest
651,POLITICS,bait nys adoptee right
652,POLITICS,investigate quiz passenger immigration status
653,POLITICS,love hack hit people could next
654,POLITICS,introduction stable
655,POLITICS,oversee presidential search
656,POLITICS,move keep full torture report secret
657,POLITICS,former republican presidential candidate hospitalize
658,POLITICS,president
659,POLITICS,percent unanimous last long
660,POLITICS,
661,POLITICS,
662,POLITICS,late wave nfl protest likely unpopular surprise
663,POLITICS,confirm lie
664,POLITICS,birthday
665,POLITICS,
666,POLITICS,clemency power aggressively
667,POLITICS,new documentary make killing show prevent suicide gun
668,POLITICS,blast retirement
669,POLITICS,election read update battle nation
670,POLITICS,fake news time
671,POLITICS,announce first public appearance leave
672,POLITICS,reportedly call local tv station attack
673,POLITICS,implement sweeping reform riker island jail
674,POLITICS,receive bipartisan support praise follow cancer diagnosis
675,POLITICS,enough nerve repeal obamacare
676,POLITICS,black student punish far harshly white student
677,POLITICS,terrorist incident rock tube
678,POLITICS,republican candidate call confederate flag state issue
679,POLITICS,unusual polling question reveal candidate likely win
680,POLITICS,dnc race
681,POLITICS,use political arsenal block trump
682,POLITICS,never think still
683,POLITICS,voter deal huge setback
684,POLITICS,right movement
685,POLITICS,candidacy catch fire
686,POLITICS,candidate want put planned member bill
687,POLITICS,say day cook day playlist
688,POLITICS,partnership bad worker democracy
689,POLITICS,refuse release public record informant scandal
690,POLITICS,gun holocaust
691,POLITICS,chief call critic
692,POLITICS,civic group rush newly eligible offender
693,POLITICS,live result primarie
694,POLITICS,finally get right cfpb hit bad bank hurt
695,POLITICS,percent hate crime middle report say
696,POLITICS,satanist declare religiously exempt heartbeat bill
697,POLITICS,apologize imply female supporter go
698,POLITICS,supreme_court deal blow puerto rican government give
699,POLITICS,expect endorse
700,POLITICS,trump vow bring price border
701,POLITICS,family reportedly close get bailout flagship tower
702,POLITICS,free press really really matter
703,POLITICS,student loan delinquency jump crisis spread
704,POLITICS,federal judge may order testify ongoing email controversy
705,POLITICS,syrian refugee photo
706,POLITICS,top diplomat quit climate policy
707,POLITICS,could improve relation
708,POLITICS,seek death dylann roof
709,POLITICS,executive order offshore drilling
710,POLITICS,fail make presidential primary ballot
711,POLITICS,presidential picking process sound dodgy hell
712,POLITICS,people climate
713,POLITICS,conservative court nominee must stopped cost
714,POLITICS,trump announce support arm teacher backpedal gun purchase age
715,POLITICS,agitate infuriate meeting focus adoption
716,POLITICS,learn
717,POLITICS,call
